student_name,age,college_name,place,degree,qualification,skills_offered,skills_wanted,experience_level,learning_goal,preferred_learning_style,availability_days,availability_times,weekly_commitment_hours,swap_history_count,average_rating,response_rate,reliability_score,domain_interest,tech_stack_familiarity,project_interest_area
Aditya Sharma,28,BITS Pilani,Kochi,MA,Postgraduate,"[""Java"", ""SEO"", ""Data Analysis"", ""Digital Marketing""]","[""Video Editing"", ""Machine Learning"", ""Public Speaking"", ""SEO""]",Expert,Crack internship,Async exchange,Both,Evening,3,1,3.4,0.68,1.0,Software,"[""Django"", ""Canva"", ""PowerBI"", ""Flask""]",Freelancing
Aditya Singh,27,NIT Trichy,Hyderabad,M.Tech,12th Pass,"[""Graphic Design"", ""Python"", ""Video Editing"", ""Project Management"", ""PowerPoint""]","[""Java"", ""C++"", ""Excel"", ""Digital Marketing""]",Expert,Freelancing,1:1,Weekends,Evening,15,8,4.9,0.95,0.75,Finance,"[""GCP"", ""Node.js"", ""MongoDB"", ""PyTorch""]",Hackathons
Aadhya Reddy,19,Osmania University,Lucknow,B.Com,Postgraduate,"[""Graphic Design"", ""Video Editing""]","[""React"", ""Angular"", ""Video Editing""]",Intermediate,Academic research,1:1,Weekends,Night,7,0,3.5,0.51,,Cybersecurity,"[""JavaScript"", ""Flask"", ""Python"", ""TensorFlow""]",Freelancing
Aditya Das,19,BITS Pilani,Chandigarh,B.Sc,12th Pass,"[""C++"", ""Python"", ""CSS""]","[""CSS"", ""Git"", ""Video Editing""]",Expert,Hackathon prep,Group sessions,Both,Night,12,23,3.2,0.62,0.43,AI/ML,"[""Flask"", ""SQL"", ""Django""]",Competitions
Sai Joshi,21,NIT Trichy,Bhopal,MA,12th Pass,"[""Kubernetes"", ""Public Speaking""]","[""Git"", ""JavaScript"", ""Canva"", ""HTML""]",Beginner,Academic research,1:1,Both,Morning,6,12,4.2,0.9,0.5,Entrepreneurship,"[""Python"", ""Node.js"", ""Azure"", ""TensorFlow""]",Academic
Vihaan Verma,26,Anna University,Jaipur,B.Com,Graduate,"[""Git"", ""Video Editing"", ""Content Writing""]","[""SQL"", ""NoSQL"", ""Content Writing"", ""Figma""]",Expert,Learn new language,1:1,Both,Evening,10,0,4.3,0.51,,Software,"[""PyTorch"", ""Canva""]",Academic
Aadhya Jain,20,Mumbai University,Hyderabad,MBA,Graduate,"[""Deep Learning"", ""Video Editing"", ""SEO"", ""Python"", ""Git""]","[""Machine Learning"", ""Java"", ""React"", ""Docker""]",Expert,Prepare for job,Mixed,Weekdays,Morning,17,20,4.2,0.96,0.75,AI/ML,"[""Tableau"", ""SQL"", ""TensorFlow""]",Competitions
Arjun Iyer,24,Osmania University,Ahmedabad,B.Tech,12th Pass,"[""Machine Learning"", ""Canva"", ""Figma""]","[""Angular"", ""SEO""]",Intermediate,Contribute to open-source,1:1,Both,Afternoon,9,4,3.4,0.99,0.75,Design,"[""SQL"", ""TensorFlow"", ""Java""]",Academic
Vihaan Saha,19,Manipal Institute of Technology,Hyderabad,BBA,12th Pass,"[""Kubernetes"", ""Git"", ""Python"", ""Java""]","[""Photography"", ""JavaScript""]",Expert,Prepare for job,Async exchange,Both,Afternoon,20,1,4.6,0.89,1.0,Design,"[""TensorFlow"", ""Python"", ""Azure""]",Open Source
Myra Chatterjee,28,Delhi University,Lucknow,BBA,12th Pass,"[""SEO"", ""Figma"", ""Illustrator"", ""Graphic Design"", ""Excel""]","[""Deep Learning"", ""Photography"", ""JavaScript""]",Beginner,Freelancing,Async exchange,Weekends,Afternoon,3,29,3.0,0.59,0.55,Business,"[""Python"", ""Canva""]",Open Source
Aryan Verma,27,Anna University,Chennai,BA,12th Pass,"[""Content Writing"", ""Git""]","[""Deep Learning"", ""Java""]",Expert,Hackathon prep,Group sessions,Both,Afternoon,2,1,5.0,0.74,1.0,Data Science,"[""SQL"", ""Django"", ""Python""]",Open Source
Arnav Chatterjee,28,IIT Madras,Jaipur,BBA,Postgraduate,"[""Canva"", ""Content Writing"", ""CSS""]","[""NoSQL"", ""Angular"", ""CSS"", ""Photography""]",Beginner,Build portfolio,1:1,Weekdays,Night,2,10,4.6,0.9,0.3,Cybersecurity,"[""GCP"", ""PyTorch""]",Freelancing
Reyansh Saha,24,NIT Trichy,Patna,M.Tech,12th Pass,"[""JavaScript"", ""Deep Learning"", ""Docker"", ""Java"", ""Photography""]","[""Digital Marketing"", ""CSS""]",Intermediate,Build portfolio,Mixed,Weekends,Night,16,10,3.7,0.64,0.4,AI/ML,"[""PowerBI"", ""Azure"", ""MongoDB"", ""JavaScript""]",Freelancing
Aadhya Chatterjee,23,IIT Bombay,Mumbai,MBA,Postgraduate,"[""Python"", ""NoSQL"", ""Photography""]","[""Photography"", ""Video Editing"", ""Git"", ""Illustrator""]",Intermediate,Crack internship,Group sessions,Both,Morning,13,1,4.4,0.58,1.0,Finance,"[""PowerBI"", ""Flask""]",Open Source
Aryan Patel,23,Lovely Professional University,Jaipur,B.Com,Graduate,"[""Data Analysis"", ""Deep Learning"", ""Digital Marketing""]","[""PowerPoint"", ""Project Management"", ""Canva""]",Intermediate,Learn new language,1:1,Both,Night,9,4,5.0,0.7,0.25,Business,"[""Flask"", ""MongoDB""]",Open Source
Anika Verma,20,Osmania University,Indore,B.Sc,Graduate,"[""Video Editing"", ""SEO"", ""PowerPoint""]","[""Kubernetes"", ""Project Management"", ""SEO""]",Intermediate,Academic research,1:1,Weekdays,Afternoon,11,12,4.8,0.78,0.58,Data Science,"[""GCP""]",Hackathons
Siya Chatterjee,18,Pune University,Delhi,BBA,Postgraduate,"[""Graphic Design"", ""SEO"", ""C++""]","[""C++"", ""Java"", ""Video Editing"", ""Excel""]",Intermediate,Academic research,Group sessions,Weekdays,Night,9,18,4.4,0.56,0.83,Content Writing,"[""GCP"", ""Tableau"", ""React"", ""Node.js""]",Competitions
Arnav Patel,23,IIT Madras,Kolkata,MBA,Postgraduate,"[""Graphic Design"", ""Content Writing""]","[""Machine Learning"", ""Data Analysis"", ""JavaScript""]",Beginner,Academic research,Async exchange,Both,Evening,17,12,4.0,0.71,0.08,Entrepreneurship,"[""SQL"", ""Python""]",Academic
Myra Nair,22,Christ University,Mumbai,M.Tech,Graduate,"[""JavaScript"", ""Python"", ""Kubernetes""]","[""Content Writing"", ""Photography""]",Intermediate,Academic research,Mixed,Weekdays,Morning,11,13,3.1,0.8,0.85,AI/ML,"[""Azure"", ""Python"", ""Tableau""]",Startups
Aaradhya Kapoor,25,Delhi University,Mumbai,BBA,12th Pass,"[""Machine Learning"", ""JavaScript"", ""Photoshop""]","[""SQL"", ""Canva""]",Beginner,Build portfolio,Async exchange,Weekdays,Night,20,2,3.1,0.5,0.5,AI/ML,"[""GCP"", ""SQL"", ""AWS""]",Hackathons
Arjun Sharma,25,IIT Bombay,Chennai,BA,Graduate,"[""Public Speaking"", ""HTML"", ""Kubernetes"", ""Excel""]","[""Python"", ""Angular"", ""Graphic Design"", ""Docker""]",Expert,Crack internship,Mixed,Both,Afternoon,10,21,3.9,1.0,0.95,Software,"[""GCP""]",Academic
Arjun Patel,20,Jamia Millia Islamia,Lucknow,MA,12th Pass,"[""JavaScript"", ""SEO"", ""Photography"", ""Digital Marketing"", ""Data Analysis""]","[""Angular"", ""HTML""]",Expert,Prepare for job,1:1,Weekends,Morning,6,25,3.4,0.7,1.0,Software,"[""AWS"", ""Canva"", ""MongoDB""]",Freelancing
Anika Patel,22,Delhi University,Pune,BA,Graduate,"[""C++"", ""Kubernetes"", ""Angular"", ""Graphic Design"", ""PowerPoint""]","[""Java"", ""Graphic Design"", ""Digital Marketing"", ""React""]",Intermediate,Crack internship,Group sessions,Weekends,Afternoon,3,20,4.1,0.76,0.9,AI/ML,"[""Flask""]",Hackathons
Vivaan Roy,23,Banaras Hindu University,Bhopal,B.Com,12th Pass,"[""JavaScript"", ""NoSQL"", ""Photoshop"", ""Canva""]","[""C++"", ""Content Writing"", ""PowerPoint"", ""Excel""]",Expert,Contribute to open-source,1:1,Weekdays,Afternoon,19,28,3.6,0.71,0.5,Software,"[""SQL"", ""AWS"", ""JavaScript""]",Competitions
Vihaan Kapoor,23,VIT Vellore,Hyderabad,B.Tech,12th Pass,"[""SQL"", ""Digital Marketing"", ""Kubernetes"", ""Excel"", ""Canva""]","[""Excel"", ""Content Writing"", ""NoSQL"", ""Python""]",Expert,Crack internship,Group sessions,Both,Night,17,1,4.8,0.58,1.0,Design,"[""Flask"", ""Java""]",Startups
Aditya Sharma,19,Lovely Professional University,Mumbai,BA,12th Pass,"[""Deep Learning"", ""JavaScript""]","[""Photography"", ""React"", ""JavaScript""]",Intermediate,Academic research,Group sessions,Weekends,Morning,20,30,4.8,0.83,0.37,Business,"[""Node.js"", ""Python"", ""PowerBI"", ""MongoDB""]",Academic
Anika Mukherjee,28,SRM University,Chandigarh,B.Com,Graduate,"[""Video Editing"", ""Deep Learning"", ""PowerPoint""]","[""Angular"", ""Deep Learning"", ""Excel""]",Beginner,Build portfolio,1:1,Both,Evening,16,15,4.5,0.7,0.4,AI/ML,"[""PowerBI""]",Freelancing
Aryan Mukherjee,23,Jamia Millia Islamia,Indore,BA,Postgraduate,"[""Excel"", ""HTML""]","[""Python"", ""Git"", ""Data Analysis"", ""HTML""]",Expert,Hackathon prep,1:1,Weekends,Morning,3,0,4.0,0.89,,AI/ML,"[""Flask"", ""Node.js"", ""Tableau""]",Startups
Arjun Reddy,18,BITS Pilani,Indore,B.Com,Postgraduate,"[""HTML"", ""Excel"", ""Illustrator"", ""Video Editing"", ""JavaScript""]","[""Python"", ""Project Management"", ""Public Speaking"", ""Figma""]",Expert,Build portfolio,Mixed,Both,Night,15,24,3.5,0.71,0.75,Design,"[""SQL"", ""Django"", ""Azure""]",Hackathons
Anaya Khan,27,VIT Vellore,Chandigarh,B.Tech,Postgraduate,"[""Git"", ""Video Editing"", ""Angular"", ""Data Analysis"", ""SEO""]","[""PowerPoint"", ""Content Writing"", ""Photoshop"", ""CSS""]",Intermediate,Academic research,1:1,Both,Morning,14,9,3.5,0.69,0.0,Entrepreneurship,"[""AWS"", ""PowerBI"", ""GCP"", ""Canva""]",Freelancing
Aarav Saha,24,Delhi University,Hyderabad,M.Sc,Postgraduate,"[""SQL"", ""Data Analysis"", ""Project Management""]","[""HTML"", ""SEO""]",Expert,Learn new language,Async exchange,Weekdays,Morning,3,8,3.5,0.52,0.12,Content Writing,"[""PyTorch"", ""React"", ""Flask""]",Competitions
Aryan Singh,18,Pune University,Chandigarh,BA,Postgraduate,"[""React"", ""Data Analysis""]","[""SQL"", ""Graphic Design"", ""Git""]",Intermediate,Learn new language,1:1,Weekdays,Morning,11,6,4.8,0.7,1.0,Content Writing,"[""Tableau"", ""SQL""]",Open Source
Arnav Chatterjee,21,Christ University,Kolkata,M.Tech,Graduate,"[""Deep Learning"", ""CSS"", ""SQL"", ""PowerPoint"", ""Digital Marketing""]","[""Graphic Design"", ""Deep Learning"", ""Photoshop"", ""Docker""]",Beginner,Academic research,1:1,Weekdays,Afternoon,13,28,3.5,0.84,0.57,Marketing,"[""PyTorch"", ""MongoDB""]",Hackathons
Siya Sharma,22,Banaras Hindu University,Delhi,BBA,Postgraduate,"[""Figma"", ""NoSQL""]","[""SEO"", ""Python"", ""NoSQL"", ""Git""]",Expert,Contribute to open-source,Async exchange,Weekdays,Evening,16,12,3.4,0.82,0.33,Software,"[""Azure"", ""Python"", ""Node.js""]",Freelancing
Siya Jain,23,Banaras Hindu University,Indore,MA,Graduate,"[""Kubernetes"", ""Illustrator"", ""Public Speaking""]","[""Data Analysis"", ""Java"", ""PowerPoint""]",Expert,Freelancing,Mixed,Weekends,Evening,14,13,4.8,0.86,0.85,Business,"[""PyTorch"", ""PowerBI"", ""MongoDB"", ""Flask""]",Freelancing
Muhammad Saha,24,Anna University,Mumbai,BBA,12th Pass,"[""Public Speaking"", ""Canva"", ""PowerPoint"", ""Deep Learning"", ""Photoshop""]","[""Machine Learning"", ""Python"", ""Canva"", ""NoSQL""]",Beginner,Hackathon prep,Group sessions,Weekdays,Night,3,28,4.7,0.94,0.86,Entrepreneurship,"[""PowerBI"", ""Python""]",Open Source
Sara Saha,22,IIT Madras,Ahmedabad,BA,12th Pass,"[""Java"", ""Angular"", ""SEO"", ""JavaScript""]","[""Python"", ""Machine Learning""]",Intermediate,Learn new language,Group sessions,Weekdays,Night,18,1,4.6,0.88,1.0,Finance,"[""MongoDB"", ""TensorFlow"", ""AWS"", ""Canva""]",Hackathons
Aadhya Patel,18,Delhi University,Delhi,BBA,Postgraduate,"[""Illustrator"", ""Canva"", ""Digital Marketing"", ""Figma""]","[""Python"", ""Deep Learning"", ""Graphic Design""]",Expert,Academic research,Group sessions,Both,Morning,5,20,4.5,0.52,0.15,AI/ML,"[""Node.js"", ""AWS"", ""Canva""]",Competitions
Sara Joshi,24,Pune University,Mumbai,BA,12th Pass,"[""C++"", ""Java"", ""CSS"", ""Deep Learning"", ""Docker""]","[""SEO"", ""Photoshop"", ""Docker"", ""CSS""]",Beginner,Prepare for job,Async exchange,Both,Afternoon,8,11,4.9,0.89,0.82,Entrepreneurship,"[""PyTorch"", ""Python"", ""Tableau""]",Competitions
Anika Sharma,27,Mumbai University,Jaipur,B.Tech,12th Pass,"[""PowerPoint"", ""React""]","[""Angular"", ""Python""]",Intermediate,Freelancing,Group sessions,Weekdays,Evening,5,14,4.8,0.55,0.64,Content Writing,"[""Canva"", ""TensorFlow"", ""Flask""]",Startups
Sai Reddy,28,VIT Vellore,Patna,MA,Graduate,"[""Illustrator"", ""CSS"", ""Machine Learning"", ""Deep Learning""]","[""Java"", ""Illustrator"", ""Angular""]",Intermediate,Contribute to open-source,1:1,Weekends,Evening,17,13,4.1,0.61,0.31,Data Science,"[""TensorFlow"", ""Django"", ""Node.js"", ""JavaScript""]",Open Source
Aaradhya Joshi,27,Lovely Professional University,Lucknow,B.Com,12th Pass,"[""CSS"", ""Video Editing""]","[""Java"", ""Graphic Design"", ""Machine Learning"", ""Angular""]",Intermediate,Build portfolio,Async exchange,Weekends,Afternoon,16,19,4.8,0.86,0.26,Cybersecurity,"[""Java""]",Startups
Aarav Khan,24,IIT Delhi,Jaipur,BBA,12th Pass,"[""Kubernetes"", ""CSS""]","[""Data Analysis"", ""Photoshop"", ""Content Writing"", ""Kubernetes""]",Expert,Hackathon prep,Async exchange,Weekdays,Night,14,1,4.6,0.87,1.0,Business,"[""Java""]",Open Source
Anaya Jain,19,IIT Madras,Chennai,M.Sc,12th Pass,"[""SQL"", ""Public Speaking""]","[""Public Speaking"", ""PowerPoint""]",Expert,Crack internship,Group sessions,Both,Afternoon,10,26,4.9,0.93,0.69,Design,"[""GCP"", ""Python"", ""Tableau"", ""Azure""]",Competitions
Sai Jain,18,Mumbai University,Delhi,B.Tech,Graduate,"[""Docker"", ""Photography"", ""Content Writing""]","[""Machine Learning"", ""Public Speaking"", ""Digital Marketing""]",Beginner,Academic research,Group sessions,Weekdays,Morning,5,11,4.7,0.58,0.09,AI/ML,"[""Node.js"", ""Flask""]",Competitions
Aryan Gupta,18,Jamia Millia Islamia,Bhopal,BA,Postgraduate,"[""C++"", ""Canva"", ""Excel"", ""JavaScript"", ""SEO""]","[""Public Speaking"", ""Kubernetes"", ""Java""]",Intermediate,Crack internship,Async exchange,Weekends,Morning,2,10,3.2,0.65,0.4,Design,"[""MongoDB""]",Competitions
Anika Ghosh,19,IIT Delhi,Indore,B.Com,12th Pass,"[""SEO"", ""SQL"", ""Photoshop"", ""Graphic Design""]","[""Project Management"", ""Git""]",Intermediate,Hackathon prep,Async exchange,Weekdays,Morning,12,22,3.8,0.8,0.68,Cybersecurity,"[""Django"", ""JavaScript"", ""PowerBI""]",Freelancing
Myra Iyer,24,Jamia Millia Islamia,Lucknow,B.Tech,Postgraduate,"[""Git"", ""JavaScript""]","[""Video Editing"", ""Illustrator""]",Intermediate,Freelancing,Group sessions,Both,Morning,15,6,3.8,0.63,0.5,Cybersecurity,"[""TensorFlow"", ""Azure"", ""AWS"", ""SQL""]",Freelancing
Aryan Nair,24,Mumbai University,Ahmedabad,MBA,12th Pass,"[""Graphic Design"", ""HTML"", ""Photography"", ""NoSQL""]","[""JavaScript"", ""NoSQL""]",Expert,Crack internship,1:1,Weekends,Morning,16,27,3.6,0.52,0.26,AI/ML,"[""Tableau""]",Hackathons
Arjun Jain,18,IIT Bombay,Patna,B.Sc,12th Pass,"[""Figma"", ""Graphic Design"", ""Public Speaking"", ""Digital Marketing"", ""Machine Learning""]","[""CSS"", ""NoSQL"", ""Figma""]",Expert,Build portfolio,1:1,Weekdays,Evening,16,19,4.2,0.79,0.42,Design,"[""Tableau"", ""React"", ""MongoDB""]",Hackathons
Aadhya Sharma,24,Amity University,Pune,BBA,Graduate,"[""Figma"", ""SEO"", ""Data Analysis""]","[""Illustrator"", ""Machine Learning"", ""SQL"", ""Photography""]",Intermediate,Contribute to open-source,Async exchange,Weekends,Morning,20,3,4.8,0.88,1.0,Business,"[""MongoDB"", ""Django""]",Hackathons
Vihaan Saha,23,IIT Delhi,Mumbai,BA,12th Pass,"[""Docker"", ""Illustrator""]","[""Python"", ""Git"", ""JavaScript""]",Beginner,Learn new language,Async exchange,Weekends,Night,6,15,3.9,0.77,0.07,Cybersecurity,"[""Java"", ""MongoDB""]",Open Source
Sara Gupta,27,Banaras Hindu University,Bengaluru,B.Sc,Graduate,"[""Git"", ""Machine Learning""]","[""C++"", ""JavaScript""]",Intermediate,Hackathon prep,Group sessions,Weekends,Night,4,8,4.1,0.76,0.25,Business,"[""Azure"", ""Django"", ""Python""]",Competitions
Myra Malhotra,20,Jadavpur University,Jaipur,MA,Graduate,"[""Illustrator"", ""Content Writing"", ""Project Management"", ""SEO"", ""Figma""]","[""Git"", ""Illustrator""]",Beginner,Crack internship,Async exchange,Weekends,Evening,11,19,3.4,0.61,0.32,AI/ML,"[""PyTorch"", ""Python""]",Startups
Aaradhya Chatterjee,21,Mumbai University,Delhi,B.Sc,12th Pass,"[""Graphic Design"", ""JavaScript""]","[""Git"", ""Python""]",Beginner,Hackathon prep,Mixed,Weekdays,Night,8,21,4.5,0.83,0.52,Cybersecurity,"[""GCP"", ""Django"", ""Node.js""]",Open Source
Aaradhya Iyer,25,Pune University,Lucknow,MA,12th Pass,"[""Illustrator"", ""CSS"", ""Digital Marketing"", ""Excel""]","[""React"", ""HTML"", ""CSS""]",Expert,Contribute to open-source,Group sessions,Weekends,Evening,9,20,3.3,0.77,0.05,Design,"[""SQL"", ""GCP""]",Competitions
Avni Khan,28,Christ University,Bengaluru,B.Com,12th Pass,"[""Docker"", ""Illustrator"", ""Machine Learning"", ""React"", ""HTML""]","[""Digital Marketing"", ""JavaScript"", ""Project Management""]",Expert,Learn new language,Mixed,Weekends,Evening,7,7,3.8,0.84,1.0,Finance,"[""Tableau"", ""GCP""]",Hackathons
Vivaan Mukherjee,21,BITS Pilani,Chandigarh,B.Com,Postgraduate,"[""HTML"", ""Content Writing"", ""Angular"", ""Photoshop"", ""Kubernetes""]","[""JavaScript"", ""SQL""]",Beginner,Learn new language,Group sessions,Both,Night,2,13,4.5,0.81,0.46,Design,"[""Python"", ""Tableau"", ""Node.js""]",Freelancing
Arnav Kapoor,27,Manipal Institute of Technology,Delhi,BA,Postgraduate,"[""Figma"", ""CSS"", ""Digital Marketing""]","[""React"", ""SQL""]",Expert,Prepare for job,Async exchange,Both,Morning,4,9,3.7,0.73,0.78,Marketing,"[""AWS"", ""PowerBI""]",Academic
Avni Patel,22,Amity University,Patna,MA,Postgraduate,"[""Deep Learning"", ""NoSQL"", ""SEO""]","[""PowerPoint"", ""Deep Learning"", ""Docker""]",Intermediate,Learn new language,Group sessions,Weekends,Evening,15,5,4.0,0.56,0.0,Cybersecurity,"[""Canva"", ""React""]",Freelancing
Myra Jain,20,NIT Trichy,Bhopal,MA,12th Pass,"[""Project Management"", ""Video Editing""]","[""Angular"", ""Canva"", ""Graphic Design"", ""Illustrator""]",Intermediate,Build portfolio,Group sessions,Weekends,Night,10,20,4.8,0.99,0.75,Cybersecurity,"[""PowerBI"", ""Django"", ""Canva""]",Open Source
Anaya Patel,26,IIT Madras,Mumbai,B.Tech,12th Pass,"[""Deep Learning"", ""C++"", ""Python"", ""Digital Marketing""]","[""Photography"", ""Excel""]",Expert,Crack internship,Async exchange,Both,Morning,14,1,4.6,0.85,0.0,Marketing,"[""Django"", ""GCP""]",Freelancing
Sara Singh,24,Calcutta University,Jaipur,B.Tech,Postgraduate,"[""Kubernetes"", ""Content Writing"", ""Git"", ""Data Analysis""]","[""Digital Marketing"", ""Canva"", ""Project Management""]",Expert,Freelancing,Group sessions,Weekdays,Morning,11,6,3.9,0.64,1.0,Marketing,"[""React"", ""JavaScript"", ""Tableau"", ""SQL""]",Academic
Siya Jain,26,Anna University,Chennai,BA,12th Pass,"[""Figma"", ""Machine Learning"", ""Excel"", ""SQL"", ""NoSQL""]","[""Data Analysis"", ""Photography"", ""Java"", ""Project Management""]",Beginner,Crack internship,Async exchange,Weekdays,Afternoon,17,23,4.7,0.86,0.57,Content Writing,"[""PowerBI"", ""TensorFlow"", ""AWS"", ""MongoDB""]",Startups
Reyansh Roy,20,Christ University,Chandigarh,B.Sc,Graduate,"[""PowerPoint"", ""Digital Marketing"", ""React""]","[""Excel"", ""Deep Learning"", ""SQL""]",Beginner,Academic research,Group sessions,Weekends,Morning,20,7,4.2,0.69,0.14,Cybersecurity,"[""Python"", ""Canva""]",Freelancing
Anika Mishra,25,Pune University,Delhi,BA,12th Pass,"[""NoSQL"", ""Canva"", ""Content Writing"", ""Deep Learning"", ""Figma""]","[""Angular"", ""Graphic Design""]",Expert,Freelancing,Async exchange,Both,Evening,16,5,3.6,0.86,0.6,Marketing,"[""Python"", ""Django"", ""GCP""]",Startups
Muhammad Saha,21,BITS Pilani,Jaipur,B.Sc,Graduate,"[""Video Editing"", ""CSS"", ""Public Speaking"", ""Git"", ""Java""]","[""Deep Learning"", ""Python"", ""Illustrator""]",Intermediate,Hackathon prep,Group sessions,Weekdays,Evening,18,23,4.4,0.8,0.91,Content Writing,"[""SQL"", ""MongoDB"", ""Django"", ""Node.js""]",Startups
Anika Ghosh,18,Pune University,Indore,B.Sc,Graduate,"[""Machine Learning"", ""NoSQL"", ""Angular""]","[""Angular"", ""PowerPoint"", ""Java""]",Intermediate,Prepare for job,1:1,Weekdays,Evening,6,9,4.5,0.72,1.0,Cybersecurity,"[""Python"", ""JavaScript"", ""Java""]",Freelancing
Myra Kapoor,22,Delhi University,Delhi,MBA,Graduate,"[""Machine Learning"", ""Photoshop"", ""SQL"", ""Angular"", ""CSS""]","[""Graphic Design"", ""Figma"", ""Canva""]",Expert,Contribute to open-source,1:1,Weekends,Morning,7,24,3.9,0.78,0.12,AI/ML,"[""JavaScript"", ""PyTorch"", ""Java""]",Competitions
Aaradhya Das,18,Manipal Institute of Technology,Delhi,MBA,Graduate,"[""Project Management"", ""Canva"", ""Content Writing"", ""Photography"", ""PowerPoint""]","[""Data Analysis"", ""NoSQL""]",Intermediate,Learn new language,Group sessions,Both,Night,15,4,4.9,0.97,0.0,Design,"[""Flask"", ""Tableau"", ""React""]",Academic
Vihaan Joshi,21,Jamia Millia Islamia,Kolkata,B.Sc,Graduate,"[""Canva"", ""Video Editing"", ""NoSQL"", ""Project Management"", ""Kubernetes""]","[""Figma"", ""Project Management"", ""Java""]",Beginner,Learn new language,Async exchange,Weekends,Evening,9,23,5.0,0.79,0.61,Cybersecurity,"[""Python"", ""Java"", ""MongoDB"", ""PowerBI""]",Freelancing
Avni Reddy,21,BITS Pilani,Patna,MA,Postgraduate,"[""React"", ""Git""]","[""Git"", ""Illustrator"", ""NoSQL""]",Beginner,Build portfolio,Async exchange,Weekends,Evening,16,7,3.5,0.53,0.29,Data Science,"[""Azure""]",Open Source
Reyansh Iyer,22,Christ University,Chennai,B.Com,Graduate,"[""Canva"", ""Docker"", ""Digital Marketing""]","[""HTML"", ""Data Analysis"", ""Illustrator"", ""Project Management""]",Intermediate,Learn new language,Mixed,Weekends,Evening,17,16,3.7,0.77,0.56,Design,"[""GCP"", ""MongoDB"", ""Python""]",Academic
